k;d;avg;% of mispr
89;5;35.755364;0.161042
89;6;35.897898;0.140899
89;7;37.61977;0.125244
89;8;40.129726;0.11272
89;9;42.914802;0.102454
89;10;38.473706;0.09395
90;0;31.117732;0.556939
90;1;31.851688;0.371262
90;2;32.194852;0.278522
90;3;33.617398;0.222898
90;4;34.264348;0.185865
90;5;35.749048;0.159185
90;6;35.848406;0.139337
90;7;37.87244;0.123833
90;8;39.79472;0.11146
90;9;42.36115;0.101327
90;10;38.229754;0.092958
91;0;31.16854;0.550789
91;1;31.906064;0.367228
91;2;32.669634;0.275397
91;3;34.151284;0.220438
