k;d;avg;% of mispr
82;9;54.535469;0.312813
82;10;56.088083;0.282669
83;0;38.476486;0.601309
83;1;40.467667;0.399944
83;2;42.530054;0.299562
83;3;42.031325;0.239824
83;4;45.521334;0.199692
83;5;39.814172;0.171059
83;6;49.587093;0.14993
83;7;52.249857;0.133363
83;8;51.587384;0.11997
83;9;52.4717;0.255487
83;10;56.007799;0.242738
84;0;40.229669;0.594047
84;1;38.914635;0.395254
84;2;42.660838;0.2961
84;3;42.069914;0.236761
84;4;45.609484;0.197405
84;5;43.273036;0.169086
84;6;42.924608;0.148236
84;7;51.918797;0.131762
84;8;51.657141;0.118462
84;9;54.411012;0.317757
84;10;53.576193;0.28966
85;0;33.421412;0.586684
85;1;38.83588;0.390726
85;2;42.505319;0.292613
85;3;42.12968;0.234093
85;4;45.261731;0.194969
85;5;46.367102;0.167231
85;6;49.537337;0.146517
85;7;52.295228;0.130488
85;8;51.531055;0.117194
85;9;54.359681;0.314535
85;10;55.889315;0.230795
86;0;38.856298;0.580503
86;1;40.036605;0.386326
86;2;42.544647;0.289272
86;3;42.039615;0.231324
86;4;45.886039;0.192763
86;5;46.23901;0.165166
86;6;49.169791;0.144565
86;7;52.308652;0.128699
86;8;51.619329;0.115913
86;9;54.107349;0.250903
86;10;55.777748;0.203797
87;0;40.092925;0.57364
87;1;39.744144;0.381864
87;2;42.518557;0.286054
87;3;42.026652;0.228733
87;4;45.15079;0.19067
87;5;46.297255;0.163317
87;6;48.464811;0.143023
87;7;52.190704;0.127268
87;8;51.56229;0.114577
87;9;54.312803;0.295303
87;10;56.210116;0.226753
88;0;39.934674;0.56726
88;1;40.332576;0.377432
88;2;42.499427;0.282785
88;3;42.029366;0.22616
88;4;45.644264;0.188446
88;5;46.090305;0.161637
88;6;49.598231;0.14164
88;7;52.242796;0.126073
88;8;51.560498;0.113239
88;9;53.916318;0.222497
88;10;56.047983;0.277521
89;0;38.054323;0.56118
89;1;40.1809;0.373229
89;2;43.85788;0.279763
89;3;41.911251;0.223705
89;4;45.330427;0.186468
89;5;43.059322;0.159773
89;6;49.528777;0.139836
89;7;52.219253;0.124438
89;8;51.55113;0.111805
89;9;54.408258;0.300363
89;10;55.430271;0.18838
90;0;40.02835;0.554653
90;1;40.349797;0.36958
90;2;42.551785;0.276615
90;3;41.973128;0.22119
90;4;45.501169;0.18434
90;5;46.238456;0.157979
90;6;49.589272;0.138266
90;7;52.317733;0.123007
90;8;51.170854;0.11078
90;9;54.33443;0.297213
90;10;55.644234;0.182828
91;0;39.879856;0.54867
91;1;38.838847;0.365314
91;2;42.479548;0.273614
91;3;42.025903;0.218852
